iter	RMSE
0	58153.81863
1	56711.18609
2	55496.27383
3	54543.09712
4	53726.50149
5	53057.57675
6	52298.17216
7	51634.25628
8	51140.28469
9	50705.01437
10	50293.82346
11	49941.13844
12	49663.84905
13	49426.91039
14	49171.65004
15	48990.55877
16	48790.9672
17	48626.22413
18	48503.2954
19	48383.73806
20	48285.61042
21	48216.76106
22	48098.77272
23	48035.7835
24	47993.42161
25	47922.9356
26	47869.66412
27	47835.88527
28	47778.8545
29	47737.21427
30	47709.03179
31	47684.64
32	47666.4218
33	47635.13592
34	47623.38087
35	47592.71918
36	47564.8061
37	47547.33223
38	47527.09265
39	47520.9698
40	47483.45632
41	47470.15493
42	47454.20397
43	47441.96826
44	47409.30353
45	47406.65657
46	47394.82607
47	47382.24806
48	47376.27158
49	47372.33294
50	47364.56332
51	47363.83068
52	47331.12719
53	47305.59749
54	47300.52057
55	47291.0369
56	47281.48497
57	47275.89182
58	47268.00416
59	47243.96116
60	47243.65875
61	47227.20336
62	47222.03385
63	47217.98617
64	47192.57789
65	47187.74194
66	47173.21342
67	47164.14391
68	47162.88077
69	47151.58883
70	47132.8411
71	47122.82732
72	47111.02553
73	47106.35277
74	47103.02195
75	47092.42345
76	47091.73209
77	47079.21202
78	47075.65646
79	47062.80222
80	47056.15176
81	47051.71991
82	47049.62591
83	47047.49785
84	47039.6494
85	47031.0347
86	47020.31108
87	47000.37872
88	47000.00364
89	46983.96418
90	46979.6587
91	46979.38322
92	46974.21005
93	46957.99512
94	46953.15733
95	46944.99085
96	46930.01861
97	46923.3014
98	46914.40637
99	46903.98237
100	46898.5265
101	46888.61732
102	46882.48458
103	46877.99115
104	46871.66991
105	46861.06826
106	46851.54431
107	46851.34525
108	46841.55905
109	46829.32925
110	46826.94642
111	46810.15313
112	46803.86882
113	46797.77217
114	46795.71533
115	46792.06175
116	46777.44572
117	46774.89139
118	46767.96869
119	46745.69193
120	46743.73294
121	46741.69229
122	46736.07306
123	46728.92076
124	46721.62913
125	46712.37688
126	46701.65427
127	46699.83338
128	46686.13316
129	46683.75852
130	46681.94072
131	46678.11184
132	46674.50012
133	46672.49349
134	46661.12773
135	46655.46764
136	46651.17877
137	46646.88307
138	46636.79592
139	46626.22767
140	46620.5133
141	46592.54643
142	46585.28059
143	46571.62161
144	46565.31335
145	46561.8075
146	46555.73766
147	46550.36549
148	46545.13769
149	46532.9349
150	46525.56974
151	46514.45183
152	46492.22105
153	46468.392
154	46451.31772
155	46447.03398
156	46435.24919
157	46433.66065
158	46420.57624
159	46417.90454
160	46416.27705
161	46398.18814
162	46393.32832
163	46390.58146
164	46377.04145
165	46371.70666
166	46358.28412
167	46349.0057
168	46343.50788
169	46339.56183
170	46332.13917
171	46325.99054
172	46319.47222
173	46317.06988
174	46313.04972
175	46303.94042
176	46300.04738
177	46294.33006
178	46288.45628
179	46282.41795
180	46280.11033
181	46278.85952
182	46275.44999
183	46262.51255
184	46260.23716
185	46256.76411
186	46252.29745
187	46247.80215
188	46243.28308
189	46229.67898
190	46215.27671
191	46203.0965
192	46197.5955
193	46183.7683
194	46179.61158
195	46175.37924
196	46171.43788
197	46171.13021
198	46170.13708
199	46163.17846
200	46160.65892
201	46159.25291
202	46151.09348
203	46146.05243
204	46138.13424
205	46136.7917
206	46135.73586
207	46131.52792
208	46125.07148
209	46119.94229
210	46098.91113
211	46096.94571
212	46088.68062
213	46084.24585
214	46081.82195
215	46073.63619
216	46069.4109
217	46062.62589
218	46059.65011
219	46058.91108
220	46052.15117
221	46047.22259
222	46042.1652
223	46040.35486
224	46039.16024
225	46034.2433
226	46031.49011
227	46026.24909
228	46021.79457
229	46021.64399
230	46020.60923
231	46014.52741
232	46010.38064
233	46003.57449
234	46000.4617
235	45993.45777
236	45991.43038
237	45987.43421
238	45981.53758
239	45970.38696
240	45967.64629
241	45965.36293
242	45960.43418
243	45958.37378
244	45949.91003
245	45943.2947
246	45932.06059
247	45928.34245
248	45926.22818
249	45922.79859
250	45921.66433
251	45915.37009
252	45910.14175
253	45904.04638
254	45902.51036
255	45900.66164
256	45898.56308
257	45895.39332
258	45895.2083
259	45889.99542
260	45886.96862
261	45884.93554
262	45879.8726
263	45876.79132
264	45872.4636
265	45868.5035
266	45853.21424
267	45847.65978
268	45847.53633
269	45841.43586
270	45838.8957
271	45834.96213
272	45831.17309
273	45822.45806
274	45812.53377
275	45812.15897
276	45808.36537
277	45803.27895
278	45801.54187
279	45794.90878
280	45788.80799
281	45782.57988
282	45777.67033
283	45773.05679
284	45765.97358
285	45764.01639
286	45759.06651
287	45752.47147
288	45751.07502
289	45747.65213
290	45745.11639
291	45742.08383
292	45739.14369
293	45736.73286
294	45730.45724
295	45725.45839
296	45723.59387
297	45719.74569
298	45715.25277
299	45713.3466
300	45706.67474
301	45706.1301
302	45705.43156
303	45701.62106
304	45699.63996
305	45699.56693
306	45697.71575
307	45696.86601
308	45695.14499
309	45690.52838
310	45687.14091
311	45682.40644
312	45675.95462
313	45669.34366
314	45667.47183
315	45666.07995
316	45663.65992
317	45659.31201
318	45653.63713
319	45651.46779
320	45643.79978
321	45640.03118
322	45637.56529
323	45621.49266
324	45617.95625
325	45617.09322
326	45615.29387
327	45613.60301
328	45603.91352
329	45599.8263
330	45598.31743
331	45595.62247
332	45588.32979
333	45586.73808
334	45580.74264
335	45578.79982
336	45574.98793
337	45574.24451
338	45569.47119
339	45568.27522
340	45566.97929
341	45562.49218
342	45559.74227
343	45559.50231
344	45553.17151
345	45552.45507
346	45539.87481
347	45534.80062
348	45523.69283
349	45519.98636
350	45502.90342
351	45498.51433
352	45498.37193
353	45496.24489
354	45494.70991
355	45494.44392
356	45488.96764
357	45475.99232
358	45470.45625
359	45469.42628
360	45467.37894
361	45467.23469
362	45463.53305
363	45460.36629
364	45459.02867
365	45453.46536
366	45449.19321
367	45448.87989
368	45446.91529
369	45446.61825
370	45442.83554
371	45437.56998
372	45431.93527
373	45431.51915
374	45428.60469
375	45421.71688
376	45419.81891
377	45413.609
378	45409.58648
379	45407.86255
380	45404.60267
381	45400.42617
382	45383.52541
383	45382.22954
384	45378.87734
385	45377.52019
386	45371.07462
387	45367.21407
388	45365.33598
389	45364.10121
390	45363.04109
391	45361.1041
392	45358.41682
393	45357.05091
394	45352.91441
395	45350.86353
396	45343.29781
397	45340.01354
398	45329.89574
399	45327.4703
400	45315.46537
401	45310.60231
402	45308.82108
403	45306.92428
404	45302.50173
405	45298.5836
406	45297.5658
407	45296.93452
408	45285.36152
409	45282.84248
410	45282.26205
411	45280.13795
412	45274.05425
413	45270.26698
414	45266.37487
415	45262.69381
416	45260.11715
417	45258.34086
418	45254.951
419	45247.84042
420	45243.96421
421	45240.5859
422	45237.58968
423	45232.53016
424	45215.19339
425	45213.20198
426	45206.67576
427	45205.68314
428	45202.26627
429	45199.01983
430	45194.62081
431	45192.21907
432	45185.44436
433	45184.30519
434	45182.06111
435	45181.99319
436	45172.81727
437	45159.85955
438	45158.68284
439	45152.15642
440	45149.47837
441	45146.26375
442	45143.63687
443	45142.84697
444	45142.48933
445	45141.70619
446	45132.30358
447	45130.33657
448	45128.88861
449	45126.80249
450	45125.86592
451	45116.1762
452	45113.90211
453	45112.08922
454	45109.86268
455	45107.4791
456	45100.63395
457	45096.89194
458	45087.25622
459	45084.16908
460	45081.62045
461	45075.01915
462	45072.08088
463	45071.34741
464	45069.01776
465	45067.96768
466	45066.698
467	45065.0811
468	45061.48122
469	45055.11054
470	45052.92215
471	45050.69243
472	45048.03372
473	45039.30481
474	45038.12983
475	45035.35885
476	45035.26062
477	45033.60806
478	45032.1229
479	45031.2358
480	45026.83104
481	45022.20474
482	45019.66941
483	45014.51851
484	45012.65859
485	45008.63799
486	45006.67564
487	45005.12828
488	45000.80151
489	44996.18813
490	44993.02729
491	44991.04367
492	44990.50178
493	44988.94636
494	44983.55239
495	44980.20142
496	44979.92559
497	44978.45921
498	44976.00261
499	44974.32923
