iter	Passed	Remaining
0	21	10517
1	44	10999
2	69	11586
3	94	11709
4	122	12121
5	144	11858
6	169	11917
7	190	11729
8	211	11514
9	234	11508
10	256	11421
11	284	11585
12	304	11400
13	322	11212
14	340	11020
15	364	11014
16	389	11071
17	409	10963
18	433	10977
19	456	10948
20	481	10973
21	505	10979
22	529	10982
23	553	10981
24	578	10993
25	599	10935
26	620	10874
27	646	10901
28	672	10927
29	698	10950
30	720	10897
31	744	10882
32	763	10806
33	785	10770
34	810	10767
35	831	10720
36	853	10684
37	874	10630
38	899	10632
39	923	10618
40	949	10628
41	969	10569
42	990	10524
43	1015	10521
44	1033	10454
45	1052	10387
46	1074	10351
47	1099	10355
48	1122	10333
49	1145	10313
50	1153	10153
51	1175	10125
52	1195	10082
53	1217	10055
54	1237	10012
55	1259	9987
56	1290	10032
57	1329	10131
58	1365	10205
59	1403	10290
60	1418	10208
61	1439	10171
62	1464	10158
63	1480	10086
64	1504	10066
65	1531	10073
66	1555	10054
67	1581	10050
68	1607	10038
69	1634	10039
70	1661	10037
71	1686	10025
72	1712	10014
73	1737	10001
74	1761	9982
75	1766	9854
76	1789	9829
77	1816	9828
78	1841	9812
79	1867	9805
80	1895	9804
81	1922	9799
82	1950	9800
83	1977	9794
84	2002	9775
85	2027	9758
86	2050	9735
87	2076	9722
88	2101	9706
89	2126	9689
90	2148	9658
91	2161	9585
92	2184	9561
93	2211	9549
94	2233	9523
95	2255	9493
96	2278	9467
97	2302	9443
98	2325	9419
99	2346	9384
100	2368	9355
101	2378	9281
102	2402	9261
103	2429	9249
104	2453	9231
105	2478	9211
106	2501	9186
107	2525	9167
108	2547	9136
109	2571	9115
110	2596	9099
111	2626	9099
112	2653	9087
113	2679	9074
114	2707	9064
115	2735	9056
116	2758	9028
117	2780	9001
118	2806	8984
119	2837	8984
120	2865	8974
121	2891	8958
122	2916	8939
123	2943	8924
124	2965	8897
125	2992	8883
126	3018	8865
127	3043	8845
128	3068	8825
129	3096	8813
130	3123	8799
131	3147	8774
132	3171	8750
133	3199	8738
134	3226	8724
135	3250	8699
136	3275	8679
137	3296	8647
138	3319	8620
139	3347	8606
140	3373	8589
141	3399	8570
142	3425	8551
143	3448	8526
144	3474	8507
145	3496	8478
146	3521	8455
147	3552	8449
148	3580	8434
149	3609	8422
150	3649	8435
151	3694	8459
152	3758	8523
153	3803	8546
154	3837	8540
155	3864	8522
156	3890	8500
157	3913	8471
158	3940	8451
159	3966	8427
160	3989	8399
161	4015	8378
162	4042	8357
163	4072	8342
164	4101	8327
165	4132	8313
166	4159	8294
167	4187	8274
168	4212	8249
169	4238	8226
170	4262	8200
171	4287	8175
172	4309	8145
173	4333	8118
174	4357	8092
175	4382	8068
176	4408	8045
177	4433	8020
178	4456	7991
179	4480	7964
180	4504	7939
181	4525	7907
182	4548	7878
183	4571	7850
184	4594	7822
185	4620	7800
186	4647	7778
187	4672	7753
188	4696	7727
189	4720	7702
190	4745	7676
191	4770	7651
192	4792	7623
193	4815	7595
194	4837	7566
195	4862	7541
196	4888	7518
197	4914	7496
198	4941	7474
199	4967	7451
200	4992	7427
201	5022	7410
202	5054	7395
203	5080	7371
204	5104	7344
205	5131	7323
206	5153	7294
207	5175	7264
208	5204	7246
209	5232	7226
210	5260	7204
211	5289	7185
212	5317	7164
213	5338	7135
214	5367	7114
215	5396	7095
216	5421	7070
217	5447	7047
218	5469	7018
219	5489	6986
220	5512	6958
221	5536	6933
222	5557	6903
223	5578	6873
224	5599	6844
225	5627	6822
226	5658	6804
227	5687	6785
228	5713	6761
229	5739	6737
230	5768	6717
231	5793	6692
232	5821	6670
233	5848	6647
234	5873	6623
235	5901	6601
236	5926	6576
237	5953	6554
238	5980	6530
239	6005	6505
240	6030	6480
241	6054	6454
242	6080	6430
243	6108	6408
244	6136	6386
245	6165	6365
246	6192	6343
247	6223	6323
248	6263	6313
249	6297	6297
250	6340	6290
251	6368	6267
252	6389	6237
253	6414	6212
254	6435	6183
255	6460	6157
256	6486	6133
257	6511	6108
258	6535	6081
259	6560	6055
260	6584	6029
261	6609	6004
262	6633	5977
263	6658	5952
264	6684	5928
265	6711	5903
266	6727	5870
267	6760	5852
268	6785	5826
269	6809	5800
270	6837	5777
271	6867	5756
272	6897	5735
273	6925	5712
274	6951	5687
275	6978	5663
276	6999	5635
277	7025	5609
278	7046	5581
279	7069	5554
280	7092	5527
281	7115	5500
282	7138	5473
283	7164	5449
284	7184	5420
285	7206	5392
286	7228	5364
287	7251	5337
288	7275	5311
289	7304	5289
290	7333	5267
291	7362	5244
292	7383	5216
293	7410	5192
294	7437	5168
295	7468	5146
296	7498	5125
297	7527	5102
298	7553	5078
299	7573	5048
300	7599	5024
301	7628	5001
302	7652	4975
303	7676	4949
304	7700	4923
305	7725	4897
306	7748	4871
307	7776	4847
308	7804	4823
309	7833	4801
310	7863	4778
311	7894	4756
312	7923	4733
313	7946	4707
314	7972	4682
315	7998	4657
316	8025	4633
317	8049	4607
318	8074	4581
319	8096	4554
320	8124	4530
321	8147	4503
322	8172	4478
323	8193	4450
324	8217	4424
325	8243	4399
326	8270	4375
327	8297	4350
328	8323	4326
329	8352	4302
330	8382	4279
331	8408	4254
332	8429	4227
333	8453	4201
334	8477	4175
335	8504	4151
336	8529	4125
337	8554	4099
338	8577	4073
339	8599	4046
340	8623	4021
341	8650	3996
342	8678	3972
343	8703	3946
344	8727	3921
345	8752	3895
346	8775	3869
347	8797	3842
348	8825	3818
349	8866	3800
350	8907	3781
351	8959	3767
352	8991	3744
353	9018	3719
354	9054	3698
355	9081	3673
356	9108	3648
357	9134	3623
358	9160	3597
359	9185	3572
360	9208	3545
361	9229	3518
362	9254	3492
363	9276	3465
364	9300	3439
365	9324	3413
366	9347	3387
367	9371	3361
368	9393	3334
369	9418	3309
370	9440	3282
371	9460	3255
372	9485	3229
373	9507	3203
374	9528	3176
375	9550	3149
376	9572	3123
377	9596	3097
378	9624	3072
379	9649	3047
380	9673	3021
381	9695	2995
382	9725	2970
383	9751	2945
384	9774	2919
385	9797	2893
386	9824	2868
387	9854	2844
388	9881	2819
389	9907	2794
390	9932	2769
391	9958	2743
392	9983	2718
393	10010	2693
394	10046	2670
395	10080	2647
396	10112	2623
397	10137	2597
398	10160	2572
399	10187	2546
400	10212	2521
401	10242	2496
402	10271	2472
403	10298	2447
404	10320	2420
405	10344	2395
406	10373	2370
407	10396	2344
408	10422	2318
409	10451	2294
410	10482	2269
411	10512	2245
412	10541	2220
413	10571	2195
414	10600	2171
415	10632	2146
416	10662	2122
417	10691	2097
418	10720	2072
419	10746	2046
420	10772	2021
421	10799	1996
422	10828	1971
423	10857	1946
424	10885	1920
425	10909	1895
426	10936	1869
427	10961	1844
428	10985	1818
429	11005	1791
430	11029	1765
431	11043	1738
432	11065	1712
433	11088	1686
434	11115	1660
435	11137	1634
436	11160	1608
437	11187	1583
438	11210	1557
439	11233	1531
440	11258	1506
441	11282	1480
442	11303	1454
443	11329	1428
444	11354	1403
445	11379	1377
446	11402	1351
447	11424	1326
448	11455	1301
449	11488	1276
450	11550	1254
451	11601	1231
452	11631	1206
453	11654	1180
454	11682	1155
455	11705	1129
456	11732	1103
457	11759	1078
458	11785	1052
459	11806	1026
460	11832	1000
461	11857	975
462	11881	949
463	11903	923
464	11920	897
465	11941	871
466	11963	845
467	11984	819
468	12010	793
469	12032	768
470	12055	742
471	12076	716
472	12099	690
473	12121	664
474	12144	639
475	12164	613
476	12186	587
477	12211	562
478	12234	536
479	12255	510
480	12281	485
481	12302	459
482	12327	433
483	12369	408
484	12393	383
485	12416	357
486	12440	332
487	12463	306
488	12485	280
489	12509	255
490	12532	229
491	12561	204
492	12586	178
493	12611	153
494	12634	127
495	12663	102
496	12691	76
497	12713	51
498	12738	25
499	12763	0
